id,category,confidence,activities,activities_confidence
631,3. Software Development,9,"['3.1. Code completion', '3.2. Code generation']","[9, 8]"
546,3. Software Development,9,"['3.8. Code assistant', '3.2. Code generation', '3.5. Code understanding']","[9, 8, 7]"
2800,3. Software Development,9,['3.1. Code completion'],[9]
1127,3. Software Development,9,"['3.8. Code assistant', '2.1. System/architecture design', '4.1. Vulnerability detection', '3.1. Code completion', '3.2. Code generation']","[9, 6, 5, 8, 7]"
1748,3. Software Development,10,['3.8. Code assistant'],[10]
538,3. Software Development,9,"['3.8. Code assistant', '3.1. Code completion', '3.2. Code generation', '3.5. Code understanding']","[9, 8, 7, 6]"
5518,4. Software Quality Assurance,10,"['4.2. Test generation or automation', '4.3. Debugging', '4.4. Static analysis']","[10, 7, 6]"
323,3. Software Development,10,"['3.2. Code generation', '3.1. Code completion', '3.3. Code summarization', '4.2. Test generation or automation']","[10, 9, 5, 10]"
5617,3. Software Development,9,"['3.5. Code understanding', '5.3. Code review', '5.6. Log analysis']","[9, 7, 4]"
3679,3. Software Development,9,"['3.2. Code generation', '3.1. Code completion', '5.5. Code refactoring or revision', '5.4. Software operations']","[9, 8, 5, 6]"
1182,4. Software Quality Assurance,9,"['4.3. Debugging', '3.2. Code generation', '3.3. Code summarization', '4.5. GUI testing']","[9, 8, 7, 5]"
1345,3. Software Development,9,"['3.1. Code completion', '5.3. Code review', '4.2. Test generation or automation']","[9, 7, 6]"
85,3. Software Development,10,"['3.1. Code completion', '3.2. Code generation', '3.5. Code understanding', '4.3. Debugging']","[10, 9, 8, 7]"
6244,3. Software Development,9,"['3.2. Code generation', '3.1. Code completion', '3.3. Code summarization']","[9, 7, 5]"
439,5. Software Maintenance,10,['5.1. Program repair'],[10]
6457,3. Software Development,9,"['3.2. Code generation', '3.1. Code completion', '1.4. Use case generation']","[9, 8, 7]"
359,4. Software Quality Assurance,10,"['4.1. Vulnerability detection', '4.2. Test generation or automation', '5.1. Program repair', '5.5. Code refactoring or revision']","[10, 8, 7, 6]"
3686,4. Software Quality Assurance,10,"['4.1. Vulnerability detection', '3.8. Code assistant']","[10, 8]"
1444,3. Software Development,9,"['3.2. Code generation', '3.3. Code summarization', '3.7. Code optimization', '5.5. Code refactoring or revision', '6.2. Software tool configuration']","[9, 8, 8, 8, 7]"
884,3. Software Development,9,"['3.2. Code generation', '3.5. Code understanding', '4.2. Test generation or automation', '6.1. Effort estimation']","[9, 8, 8, 7]"
3851,3. Software Development,10,"['3.2. Code generation', '3.5. Code understanding', '4.2. Test generation or automation']","[10, 8, 7]"
4325,3. Software Development,8,"['3.8. Code assistant', '3.1. Code completion', '3.2. Code generation']","[8, 7, 6]"
1353,3. Software Development,10,"['3.8. Code assistant', '3.1. Code completion', '3.2. Code generation', '3.3. Code summarization', '3.4. Code search', '3.5. Code understanding', '3.6. API recommendation for coding', '3.7. Code optimization', '5.3. Code review', '5.5. Code refactoring or revision', '5.6. Log analysis', '5.7. Code translation', '6.1. Effort estimation']","[10, 9, 9, 8, 7, 8, 8, 7, 7, 7, 6, 8, 6]"
180,3. Software Development,9,"['3.2. Code generation', '3.8. Code assistant']","[9, 8]"
13,3. Software Development,9,"['3.8. Code assistant', '3.2. Code generation', '2.3. User interface design']","[9, 8, 6]"
618,3. Software Development,9,"['3.1. Code completion', '3.2. Code generation', '3.3. Code summarization', '3.4. Code search', '3.5. Code understanding', '3.6. API recommendation for coding', '3.8. Code assistant', '4.2. Test generation or automation']","[9, 8, 6, 5, 7, 6, 9, 8]"
6120,3. Software Development,9,"['3.8. Code assistant', '3.1. Code completion', '3.2. Code generation']","[9, 8, 7]"
652,3. Software Development,9,"['3.2. Code generation', '3.5. Code understanding', '3.3. Code summarization', '3.1. Code completion']","[9, 8, 7, 7]"
1344,4. Software Quality Assurance,9,"['4.2. Test generation or automation', '5.5. Code refactoring or revision', '5.3. Code review', '5.4. Software operations', '5.6. Log analysis', '3.1. Code completion']","[9, 7, 6, 8, 7, 5]"
326,3. Software Development,9,[],[]
6090,3. Software Development,9,"['3.1. Code completion', '3.2. Code generation', '3.8. Code assistant']","[9, 7, 7]"
990,3. Software Development,10,"['3.8. Code assistant', '3.1. Code completion', '3.2. Code generation', '3.5. Code understanding']","[10, 9, 8, 7]"
3266,3. Software Development,10,"['3.1. Code completion', '3.2. Code generation']","[10, 9]"
17,4. Software Quality Assurance,9,"['4.1. Vulnerability detection', '3.8. Code assistant', '6.1. Effort estimation']","[9, 8, 6]"
108,3. Software Development,10,['3.1. Code completion'],[10]
5069,5. Software Maintenance,8,['5.4. Software operations'],[8]
324,3. Software Development,10,"['3.8. Code assistant', '3.2. Code generation', '3.5. Code understanding', '3.7. Code optimization', '4.3. Debugging', '4.4. Static analysis']","[10, 9, 8, 7, 6, 5]"
6506,3. Software Development,9,['3.2. Code generation'],[9]
4742,3. Software Development,9,"['3.2. Code generation', '3.8. Code assistant', '5.8. Code transformation or modernization', '5.5. Code refactoring or revision']","[9, 8, 9, 7]"
3852,3. Software Development,9,"['3.1. Code completion', '4.2. Test generation or automation', '6.1. Effort estimation']","[9, 7, 5]"
336,3. Software Development,9,"['3.1. Code completion', '3.2. Code generation', '5.5. Code refactoring or revision', '5.4. Software operations']","[9, 8, 7, 6]"
3940,3. Software Development,10,"['3.1. Code completion', '3.2. Code generation', '3.3. Code summarization', '3.4. Code search', '3.5. Code understanding', '3.6. API recommendation for coding', '3.8. Code assistant', '4.2. Test generation or automation']","[10, 10, 8, 5, 9, 8, 10, 7]"
332,3. Software Development,10,"['3.1. Code completion', '3.2. Code generation', '4.1. Vulnerability detection', '5.7. Code translation']","[10, 9, 8, 7]"
2443,3. Software Development,9,"['3.2. Code generation', '3.1. Code completion', '3.5. Code understanding']","[9, 8, 7]"
6163,3. Software Development,9,"['3.2. Code generation', '3.1. Code completion']","[9, 9]"
6460,3. Software Development,10,"['3.2. Code generation', '3.1. Code completion', '3.3. Code summarization', '3.5. Code understanding', '3.8. Code assistant']","[10, 8, 2, 3, 9]"
140,3. Software Development,10,"['3.2. Code generation', '3.3. Code summarization', '3.4. Code search', '3.5. Code understanding', '3.6. API recommendation for coding', '3.7. Code optimization', '3.8. Code assistant', '4.1. Vulnerability detection', '4.2. Test generation or automation', '4.3. Debugging']","[10, 8, 7, 7, 6, 6, 8, 5, 7, 8]"
5534,3. Software Development,10,"['3.2. Code generation', '5.5. Code refactoring or revision', '5.4. Software operations']","[10, 5, 8]"
6480,3. Software Development,10,['3.2. Code generation'],[10]
5533,5. Software Maintenance,10,"['5.3. Code review', '3.5. Code understanding']","[10, 8]"
736,3. Software Development,10,"['3.2. Code generation', '1.4. Use case generation', '2.1. System/architecture design', '2.3. User interface design', '4.2. Test generation or automation']","[10, 9, 8, 7, 8]"
1151,4. Software Quality Assurance,9,"['4.3. Debugging', '3.5. Code understanding', '6.1. Effort estimation']","[9, 7, 6]"
1567,3. Software Development,10,"['3.2. Code generation', '4.2. Test generation or automation', '4.4. Static analysis']","[10, 6, 5]"
5173,3. Software Development,10,"['3.2. Code generation', '3.5. Code understanding', '4.2. Test generation or automation']","[10, 8, 5]"
3177,3. Software Development,10,"['3.1. Code completion', '3.2. Code generation']","[10, 9]"
183,3. Software Development,10,['3.2. Code generation'],[10]
1287,5. Software Maintenance,9,"['5.4. Software operations', '3.2. Code generation', '5.5. Code refactoring or revision']","[9, 7, 6]"
3528,3. Software Development,9,"['3.1. Code completion', '3.2. Code generation', '5.5. Code refactoring or revision']","[9, 8, 4]"
450,3. Software Development,10,"['3.1. Code completion', '3.5. Code understanding', '5.5. Code refactoring or revision']","[10, 8, 7]"
8,2. Software Design,9,"['2.1. System/architecture design', '3.2. Code generation', '3.5. Code understanding', '3.7. Code optimization']","[9, 8, 6, 5]"
1654,3. Software Development,10,"['3.2. Code generation', '3.7. Code optimization']","[10, 8]"
0,4. Software Quality Assurance,10,['4.1. Vulnerability detection'],[10]
1148,5. Software Maintenance,9,"['5.1. Program repair', '3.1. Code completion', '3.8. Code assistant']","[9, 8, 8]"
647,3. Software Development,10,"['3.1. Code completion', '1.2. Requirements analysis or evaluation']","[10, 7]"
1254,3. Software Development,9,"['3.2. Code generation', '5.5. Code refactoring or revision', '6.1. Effort estimation']","[9, 5, 4]"
1371,3. Software Development,10,['3.2. Code generation'],[10]
1332,2. Software Design,9,"['2.1. System/architecture design', '1.1. Requirements classification', '3.1. Code completion']","[9, 8, 7]"
4616,3. Software Development,10,"['3.2. Code generation', '4.1. Vulnerability detection', '4.2. Test generation or automation']","[10, 8, 7]"
4364,3. Software Development,9,"['3.1. Code completion', '3.2. Code generation', '4.1. Vulnerability detection']","[9, 9, 8]"
322,3. Software Development,9,"['3.8. Code assistant', '3.1. Code completion', '3.2. Code generation', '3.3. Code summarization', '3.5. Code understanding', '4.2. Test generation or automation', '5.3. Code review']","[9, 9, 9, 9, 8, 8, 7]"
101,4. Software Quality Assurance,10,['4.1. Vulnerability detection'],[10]
1339,3. Software Development,9,"['3.8. Code assistant', '3.1. Code completion', '3.2. Code generation', '3.5. Code understanding']","[9, 8, 7, 6]"
616,3. Software Development,9,"['3.1. Code completion', '3.2. Code generation', '3.3. Code summarization', '3.4. Code search', '3.5. Code understanding', '3.8. Code assistant', '2.1. System/architecture design', '4.2. Test generation or automation', '5.5. Code refactoring or revision', '5.6. Log analysis']","[9, 8, 6, 5, 7, 9, 7, 6, 4, 5]"
347,3. Software Development,10,"['3.2. Code generation', '2.1. System/architecture design', '2.3. User interface design']","[10, 8, 6]"
5544,5. Software Maintenance,10,"['5.8. Code transformation or modernization', '3.1. Code completion', '3.5. Code understanding', '4.1. Vulnerability detection', '3.6. API recommendation for coding']","[10, 7, 6, 5, 4]"
1367,3. Software Development,9,"['3.2. Code generation', '3.3. Code summarization', '2.3. User interface design', '5.4. Software operations']","[9, 7, 6, 4]"
875,3. Software Development,10,['3.8. Code assistant'],[10]
6444,3. Software Development,9,"['3.1. Code completion', '3.2. Code generation', '3.8. Code assistant']","[9, 8, 8]"
1147,3. Software Development,10,"['3.2. Code generation', '3.5. Code understanding']","[10, 7]"
5322,3. Software Development,10,"['3.1. Code completion', '3.2. Code generation', '3.5. Code understanding']","[10, 9, 7]"
6405,3. Software Development,9,"['3.2. Code generation', '6.1. Effort estimation', '3.8. Code assistant']","[9, 4, 7]"
337,4. Software Quality Assurance,9,"['4.2. Test generation or automation', '5.3. Code review', '5.5. Code refactoring or revision', '5.6. Log analysis']","[9, 9, 9, 2]"
412,3. Software Development,9,"['3.8. Code assistant', '3.1. Code completion', '3.2. Code generation', '3.3. Code summarization', '3.4. Code search', '3.5. Code understanding', '3.6. API recommendation for coding', '3.7. Code optimization', '4.2. Test generation or automation', '6.1. Effort estimation', '6.2. Software tool configuration']","[9, 8, 8, 6, 5, 7, 5, 7, 8, 5, 6]"
4664,3. Software Development,10,"['3.2. Code generation', '3.5. Code understanding', '3.8. Code assistant']","[10, 8, 8]"
830,3. Software Development,10,"['3.2. Code generation', '3.3. Code summarization', '3.5. Code understanding', '5.1. Program repair', '5.7. Code translation']","[10, 8, 8, 7, 6]"
5475,3. Software Development,9,"['3.2. Code generation', '3.3. Code summarization', '3.5. Code understanding', '3.8. Code assistant']","[9, 7, 6, 8]"
6249,3. Software Development,9,"['3.8. Code assistant', '3.2. Code generation', '4.2. Test generation or automation']","[9, 8, 7]"
6380,3. Software Development,9,['3.2. Code generation'],[9]
1299,3. Software Development,10,"['3.2. Code generation', '3.1. Code completion', '3.5. Code understanding', '3.7. Code optimization', '4.2. Test generation or automation', '6.1. Effort estimation']","[10, 9, 7, 8, 5, 3]"
5668,3. Software Development,10,"['3.5. Code understanding', '5.5. Code refactoring or revision']","[10, 10]"
609,3. Software Development,10,"['3.1. Code completion', '3.2. Code generation']","[10, 10]"
3857,3. Software Development,9,"['3.1. Code completion', '3.2. Code generation']","[9, 8]"
4391,5. Software Maintenance,9,"['5.7. Code translation', '5.8. Code transformation or modernization']","[9, 8]"
319,3. Software Development,10,"['3.1. Code completion', '3.2. Code generation', '3.5. Code understanding', '3.6. API recommendation for coding', '5.5. Code refactoring or revision', '5.7. Code translation', '5.8. Code transformation or modernization']","[9, 9, 8, 7, 8, 7, 9]"
5241,5. Software Maintenance,10,"['5.8. Code transformation or modernization', '3.7. Code optimization', '5.5. Code refactoring or revision']","[10, 8, 9]"
694,3. Software Development,9,"['3.8. Code assistant', '3.1. Code completion', '3.2. Code generation', '4.2. Test generation or automation', '4.1. Vulnerability detection']","[9, 8, 7, 6, 5]"
6464,3. Software Development,9,['3.8. Code assistant'],[9]
3685,3. Software Development,9,"['3.2. Code generation', '3.1. Code completion']","[9, 9]"
388,5. Software Maintenance,10,"['5.8. Code transformation or modernization', '3.2. Code generation', '5.5. Code refactoring or revision']","[10, 9, 8]"
6000,4. Software Quality Assurance,9,"['4.3. Debugging', '5.1. Program repair', '5.6. Log analysis']","[9, 7, 5]"
5418,4. Software Quality Assurance,10,"['4.1. Vulnerability detection', '6.1. Effort estimation', '6.2. Software tool configuration']","[10, 7, 6]"
688,6. Software Management,3,"['6.1. Effort estimation', '4.1. Vulnerability detection', '6.2. Software tool configuration']","[3, 3, 3]"
5741,3. Software Development,9,"['3.8. Code assistant', '3.1. Code completion', '3.2. Code generation']","[9, 8, 8]"
886,3. Software Development,9,"['3.2. Code generation', '6.1. Effort estimation', '6.2. Software tool configuration']","[9, 7, 6]"
397,7. Others,10,[],[]
4913,3. Software Development,9,"['3.2. Code generation', '3.1. Code completion', '4.2. Test generation or automation', '6.1. Effort estimation']","[9, 8, 7, 5]"
1483,4. Software Quality Assurance,9,['4.1. Vulnerability detection'],[9]
