id,company,activity,tasks,title,link
6585,SAP,3. Software Development,['3.2. Code generation'],Product Updates for SAP Build Code – July 2024 Edition - SAP ...,https://community.sap.com/t5/technology-blogs-by-sap/product-updates-for-sap-build-code-july-2024-edition/ba-p/13764559
5321,Amazon,3. Software Development,"['3.2. Code generation', '3.5. Code understanding']",AWS announces workspace context awareness for Amazon Q Developer chat,https://aws.amazon.com/blogs/devops/aws-announces-workspace-context-awareness-for-amazon-q-developer-chat/
5625,Amazon,6. Software Management,['6.2. Software tool configuration'],How to use Amazon Q Developer to deploy a Serverless web application with AWS CDK,https://aws.amazon.com/blogs/devops/how-to-use-amazon-q-developer-to-deploy-a-serverless-web-application-with-aws-cdk/
375,Amazon,3. Software Development,"['3.1. Code completion', '3.2. Code generation']",Your DevOps and Developer Productivity guide to re:Invent 2023,https://aws.amazon.com/blogs/devops/your-devops-and-developer-productivity-guide-to-reinvent-2023/
1653,Salesforce,3. Software Development,['3.2. Code generation'],INDICT: Towards Better Code Generation by Both Security and Helpfulness,https://blog.salesforceairesearch.com/indict-code-generation-with-internal-dialogues-of-critiques-for-both-security-and-helpfulness/
4842,Amazon,3. Software Development,"['3.8. Code assistant', '3.1. Code completion', '3.2. Code generation']",Development Productivity in the Age of Generative AI | AWS Cloud ...,https://aws.amazon.com/blogs/enterprise-strategy/development-productivity-in-the-age-of-generative-ai/
6586,SAP,3. Software Development,['3.2. Code generation'],Major UX Update of Joule in SAP Build Code - SAP Community,https://community.sap.com/t5/technology-blogs-by-sap/major-ux-update-of-joule-in-sap-build-code/ba-p/13770686
5465,Amazon,4. Software Quality Assurance,"['4.3. Debugging', '4.2. Test generation or automation']",Leveraging Amazon Q Developer for Efficient Code Debugging and Maintenance,https://aws.amazon.com/blogs/devops/leveraging-amazon-q-developer-for-efficient-code-debugging-and-maintenance/
831,IBM,5. Software Maintenance,"['5.7. Code translation', '5.5. Code refactoring or revision']",Application modernization with IBM generative AI - IBM Research,https://research.ibm.com/blog/cobol-java-ibm-z
1551,Salesforce,3. Software Development,['3.2. Code generation'],The Potential of Generative AI for Salesforce Developers,https://www.salesforce.com/blog/the-potential-of-generative-ai-for-salesforce-developers/
4534,Amazon,3. Software Development,['3.2. Code generation'],Use Amazon CodeWhisperer to advance your cloud knowledge,https://aws.amazon.com/blogs/training-and-certification/use-amazon-codewhisperer-to-advance-cloud-knowledge/
1387,Oracle,3. Software Development,['3.2. Code generation'],Oracle Database 23c: The Next Long Term Support Release,https://blogs.oracle.com/database/post/oracle-database-23c-the-next-long-term-support-release
369,Amazon,5. Software Maintenance,"['5.8. Code transformation or modernization', '5.5. Code refactoring or revision']",Upgrade your Java applications with Amazon Q Code Transformation (preview),https://aws.amazon.com/blogs/aws/upgrade-your-java-applications-with-amazon-q-code-transformation-preview/
759,IBM,3. Software Development,"['3.2. Code generation', '3.1. Code completion']",What CIOs and CTOs should consider before adopting generative AI ...,https://www.ibm.com/blog/what-cios-and-ctos-should-consider-before-adopting-generative-ai-for-application-modernization/
1761,AMD,3. Software Development,['3.8. Code assistant'],How to get an AI coding assistant on your AMD Ryzen™ AI PC or Radeon Graphics Card,https://community.amd.com/t5/ai/how-to-get-an-ai-coding-assistant-on-your-amd-ryzen-ai-pc-or/ba-p/670686
6378,SAP,5. Software Maintenance,['5.5. Code refactoring or revision'],Using Generative AI to Migrate Java Mapping to Cloud Integration - Part 2: A Sample - SAP ...,https://community.sap.com/t5/technology-blogs-by-sap/using-generative-ai-to-migrate-java-mapping-to-cloud-integration-part-2-a/ba-p/13583450
731,IBM,3. Software Development,"['3.2. Code generation', '3.1. Code completion', '3.3. Code summarization', '3.7. Code optimization']",9 ways developer productivity gets a boost from generative AI - IBM ...,https://www.ibm.com/blog/developer-productivity/
4012,Amazon,4. Software Quality Assurance,['4.1. Vulnerability detection'],"AWS re:Invent 2023: Security, identity, and compliance recap | AWS ...",https://aws.amazon.com/blogs/security/aws-reinvent-2023-security-identity-and-compliance-recap/
5828,Google,3. Software Development,['3.2. Code generation'],Faster API development with Cloud Code plugin for API ...,https://cloud.google.com/blog/products/application-development/using-the-cloud-code-plugin-to-develop-api
1124,Microsoft,3. Software Development,"['3.2. Code generation', '3.5. Code understanding']",Quick Tips for using Copilot Chat with C++ in Visual Studio - C++ ...,https://devblogs.microsoft.com/cppblog/quick-tips-for-using-copilot-chat-with-c-in-visual-studio/
333,Amazon,3. Software Development,"['3.2. Code generation', '3.1. Code completion', '3.5. Code understanding']","Use Amazon Bedrock to generate, evaluate, and understand code in your software development pipeline",https://aws.amazon.com/blogs/machine-learning/use-amazon-bedrock-to-generate-evaluate-and-understand-code-in-your-software-development-pipeline/
1260,SAP,3. Software Development,['3.2. Code generation'],SAP Build Code |Joule | Generative AI-based SAP Fiori App ...,https://community.sap.com/t5/technology-blogs-by-sap/generative-ai-based-sap-fiori-app-development-with-joule-directly-from-the/ba-p/13654153
631,Google,3. Software Development,"['3.1. Code completion', '3.2. Code generation']",AI assistance kickstarts developer productivity whitepaper | Google ...,https://cloud.google.com/blog/products/application-development/ai-assistance-kickstarts-developer-productivity-whitepaper
546,Google,3. Software Development,['3.8. Code assistant'],"Google I/O Connect Bengaluru 2024: Latest AI Models, Tools, and Programs to Fuel Developer Innovation in India",https://blog.google/intl/en-in/company-news/google-io-connect-bengaluru-2024-latest-ai-models-tools-and-programs-to-fuel-developer-innovation-in-india/
2800,Amazon,3. Software Development,['3.1. Code completion'],Codus Interruptus: Stop Wasting Time | AWS Cloud Enterprise ...,https://aws.amazon.com/blogs/enterprise-strategy/codus-interruptus-stop-wasting-time/
1127,Microsoft,3. Software Development,"['3.8. Code assistant', '3.2. Code generation', '3.1. Code completion']",Get Ready for Visual Studio at Build 2024: Join Thousands Online!,https://devblogs.microsoft.com/visualstudio/visual-studio-at-build-2024/
1748,AMD,3. Software Development,"['3.2. Code generation', '3.1. Code completion']",Build Your Local Coding Copilot with AMD Radeon GPU Platform - AMD ...,https://community.amd.com/t5/ai/build-your-local-coding-copilot-with-amd-radeon-gpu-platform/ba-p/689459
538,Google,3. Software Development,"['3.1. Code completion', '3.2. Code generation']",Democratizing access to AI-enabled coding with Colab,https://blog.google/technology/ai/democratizing-access-to-ai-enabled-coding-with-colab/
5518,Amazon,4. Software Quality Assurance,['4.2. Test generation or automation'],Testing your applications with Amazon Q Developer | AWS DevOps ...,https://aws.amazon.com/blogs/devops/testing-your-applications-with-amazon-q-developer/
323,Amazon,3. Software Development,['3.2. Code generation'],Reimagining software development with the Amazon Q Developer Agent,https://aws.amazon.com/blogs/machine-learning/reimagining-software-development-with-the-amazon-q-developer-agent/
5617,Amazon,3. Software Development,['3.2. Code generation'],Generating Accurate Git Commit Messages with Amazon Q Developer CLI Context Modifiers,https://aws.amazon.com/blogs/devops/generating-accurate-git-commit-messages-with-amazon-q-developer-cli-context-modifiers/
3679,Amazon,3. Software Development,['3.2. Code generation'],IDE extension for AWS Application Composer enhances visual modern applications development with AI-generated IaC,https://aws.amazon.com/blogs/aws/ide-extension-for-aws-application-composer-enhances-visual-modern-applications-development-with-ai-generated-iac/
1182,Microsoft,1. Requirements Engineering,['1.2. Requirements analysis or evaluation'],"Research Focus: Week of April 29, 2024 - Microsoft Research",https://www.microsoft.com/en-us/research/blog/research-focus-week-of-april-29-2024/
1345,Oracle,3. Software Development,['3.1. Code completion'],Oracle Code Assist: AI companion to boost developer velocity,https://blogs.oracle.com/cloud-infrastructure/post/oracle-code-assist-ai-companion-boost-velocity
85,Nvidia,3. Software Development,"['3.2. Code generation', '3.1. Code completion', '3.5. Code understanding']",Replit CEO Amjad Masad on Empowering the Next Billion Software Creators,https://blogs.nvidia.com/blog/replit-ceo-amjad-masad-on-empowering-the-next-billion-software-creators/
6244,SAP,3. Software Development,"['3.2. Code generation', '3.1. Code completion']",Why SAP Build Code is a Game-Changer for SAP Developers - SAP ...,https://community.sap.com/t5/technology-blogs-by-sap/why-sap-build-code-is-a-game-changer-for-sap-developers/ba-p/13574173
439,Google,5. Software Maintenance,['5.1. Program repair'],Safely repairing broken builds with ML,http://research.google/blog/safely-repairing-broken-builds-with-ml/
6457,SAP,3. Software Development,"['3.1. Code completion', '3.2. Code generation']",Now AI Helps You Developing SAPUI5 Applications - SAP Community,https://community.sap.com/t5/technology-blogs-by-sap/now-ai-helps-you-developing-sapui5-applications/ba-p/13649767
359,Amazon,4. Software Quality Assurance,['4.1. Vulnerability detection'],Automate and enhance your code security with AI-powered services,https://aws.amazon.com/blogs/security/automate-and-enhance-your-code-security-with-ai-powered-services/
3686,Amazon,4. Software Quality Assurance,['4.1. Vulnerability detection'],Use CodeWhisperer to identify issues and use suggestions to improve code security in your IDE,https://aws.amazon.com/blogs/security/use-codewhisperer-to-identify-issues-and-use-suggestions-to-improve-code-security-in-your-ide/
1444,CISCO,3. Software Development,['3.2. Code generation'],Shift-left Convergence with Generative AI Improves the Programmer’s Role,https://blogs.cisco.com/developer/shift-left-convergence-with-generative-ai
884,Microsoft,3. Software Development,['3.2. Code generation'],AI in Development (Part 1 of 2) - Microsoft Community Hub,https://techcommunity.microsoft.com/t5/educator-developer-blog/ai-in-development-part-1-of-2/ba-p/4023908
3851,Amazon,3. Software Development,['3.2. Code generation'],Best Practices for Prompt Engineering with Amazon CodeWhisperer,https://aws.amazon.com/blogs/devops/best-practices-for-prompt-engineering-with-amazon-codewhisperer/
4325,Amazon,3. Software Development,"['3.1. Code completion', '3.2. Code generation']",Event Recap: AWS news from Mobile World Congress 2024 | AWS ...,https://aws.amazon.com/blogs/industries/event-recap-aws-news-from-mobile-world-congress-2024/
1353,Oracle,3. Software Development,"['3.1. Code completion', '3.3. Code summarization']",AI code assistants are on the rise – big time!,https://blogs.oracle.com/ai-and-datascience/post/ai-code-assistants-are-on-the-rise-big-time
180,Nvidia,3. Software Development,['3.2. Code generation'],Advanced AI and Retrieval-Augmented Generation for Code Development in High-Performance Computing,https://developer.nvidia.com/blog/advanced-ai-and-retrieval-augmented-generation-for-code-development-in-high-performance-computing/
13,Nvidia,3. Software Development,['3.2. Code generation'],SAP Taps NVIDIA AI and Omniverse for Next-Gen Business ...,https://blogs.nvidia.com/blog/sap-sapphire-ai-omniverse/
618,Google,3. Software Development,"['3.1. Code completion', '3.3. Code summarization']",Evaluating AI-powered tools for enterprise software development ...,https://cloud.google.com/blog/products/ai-machine-learning/evaluating-ai-powered-tools-for-enterprise-software-development/
6120,Microsoft,3. Software Development,"['3.8. Code assistant', '3.1. Code completion']",Get ready for Microsoft Build: Sharpen your skills - Microsoft ...,https://techcommunity.microsoft.com/t5/apps-on-azure-blog/get-ready-for-microsoft-build-sharpen-your-skills/ba-p/4128754
652,Google,3. Software Development,"['3.1. Code completion', '3.2. Code generation']",Gen AI and app development tools and partnerships | Google Cloud ...,https://cloud.google.com/blog/products/application-development/gen-ai-and-app-development-tools-and-partnerships
1344,Oracle,3. Software Development,"['3.1. Code completion', '3.2. Code generation']",Using GenAI to transform DevOps,https://blogs.oracle.com/ai-and-datascience/post/using-genai-to-transform-devops-on-oci
326,Amazon,3. Software Development,['3.2. Code generation'],Accelerate your Software Development Lifecycle with Amazon Q,https://aws.amazon.com/blogs/devops/accelerate-your-software-development-lifecycle-with-amazon-q/
6090,Microsoft,3. Software Development,['3.1. Code completion'],Celebrating One Year of Open at Microsoft,https://techcommunity.microsoft.com/t5/educator-developer-blog/celebrating-one-year-of-open-at-microsoft/ba-p/4042595
990,Microsoft,3. Software Development,"['3.8. Code assistant', '3.1. Code completion', '3.2. Code generation']",What's next: Microsoft Build continues the evolution and expansion ...,https://blogs.microsoft.com/blog/2024/05/21/whats-next-microsoft-build-continues-the-evolution-and-expansion-of-ai-tools-for-developers/
3266,Amazon,3. Software Development,"['3.1. Code completion', '3.2. Code generation']",Introducing Amazon CodeWhisperer Dashboard and CloudWatch Metrics,https://aws.amazon.com/blogs/devops/introducing-amazon-codewhisperer-dashboard-and-cloudwatch-metrics/
17,Nvidia,4. Software Quality Assurance,['4.1. Vulnerability detection'],Three Ways Generative AI Can Bolster Cybersecurity | NVIDIA Blogs,https://blogs.nvidia.com/blog/generative-ai-cybersecurity/
108,Nvidia,3. Software Development,['3.1. Code completion'],Unlock Your LLM Coding Potential with StarCoder2 | NVIDIA ...,https://developer.nvidia.com/blog/unlock-your-llm-coding-potential-with-starcoder2/
5069,Amazon,5. Software Maintenance,['5.6. Log analysis'],Simplify AWS CloudTrail log analysis with natural language query generation in CloudTrail Lake (preview),https://aws.amazon.com/blogs/aws/simplify-aws-cloudtrail-log-analysis-with-natural-language-query-generation-in-cloudtrail-lake-preview/
324,Amazon,3. Software Development,['3.2. Code generation'],Amazon Q brings generative AI-powered assistance to IT pros and developers (preview),https://aws.amazon.com/blogs/aws/amazon-q-brings-generative-ai-powered-assistance-to-it-pros-and-developers-preview/
6506,SAP,3. Software Development,['3.2. Code generation'],5 Easy apps that can be created right away using Joule AI Assistant - SAP Community,https://community.sap.com/t5/technology-blogs-by-sap/5-easy-apps-that-can-be-created-right-away-using-joule-ai-assistant/ba-p/13680151
4742,Amazon,3. Software Development,['3.2. Code generation'],"Amazon Q Developer, now generally available, includes previews of new capabilities to reimagine developer experience",https://aws.amazon.com/blogs/aws/amazon-q-developer-now-generally-available-includes-new-capabilities-to-reimagine-developer-experience/
3852,Amazon,3. Software Development,['3.1. Code completion'],The most visited AWS DevOps blog posts in 2023,https://aws.amazon.com/blogs/devops/the-most-visited-aws-devops-blogs-in-2023/
336,Amazon,3. Software Development,"['3.1. Code completion', '3.2. Code generation']",re:Invent 2023 DevOps and Developer Productivity Playlist | AWS ...,https://aws.amazon.com/blogs/devops/reinvent-2023-devops-and-developer-productivity-playlist/
3940,Amazon,3. Software Development,"['3.2. Code generation', '3.5. Code understanding']",Accelerate .NET and SQL development with Amazon CodeWhisperer as your AI coding companion,https://aws.amazon.com/blogs/modernizing-with-aws/net-and-sql-development-with-amazon-codewhisperer/
332,Amazon,3. Software Development,"['3.1. Code completion', '3.2. Code generation']",Persistent Systems shapes the future of software engineering with Amazon CodeWhisperer,https://aws.amazon.com/blogs/machine-learning/persistent-systems-shapes-the-future-of-software-engineering-with-amazon-codewhisperer/
2443,Nvidia,3. Software Development,"['3.2. Code generation', '3.5. Code understanding']","Create Content, Conversations, and Code with New Phi-3 and Granite Code Model Families",https://developer.nvidia.com/blog/create-content-conversations-and-code-with-new-phi-3-and-granite-code-model-families/
6163,Microsoft,3. Software Development,"['3.2. Code generation', '3.1. Code completion']",Enhanced templating in Semantic Kernel for Python | Semantic Kernel,https://devblogs.microsoft.com/semantic-kernel/enhanced-templating-in-semantic-kernel-for-python/
6460,SAP,3. Software Development,"['3.2. Code generation', '3.8. Code assistant']",Unleashing AI Magic: Building Full-Stack Apps with SAP Build Code,https://community.sap.com/t5/technology-blogs-by-sap/unleashing-ai-magic-building-full-stack-apps-with-sap-build-code/ba-p/13652771
140,Nvidia,3. Software Development,['3.2. Code generation'],"Generate Code, Answer Queries, and Translate Text with New NVIDIA AI Foundation Models",https://developer.nvidia.com/blog/generate-code-answer-queries-and-translate-text-with-leading-generative-ai-models/
5534,Amazon,3. Software Development,['3.2. Code generation'],Accelerate your Terraform development with Amazon Q Developer,https://aws.amazon.com/blogs/devops/accelerate-your-terraform-development-with-amazon-q-developer/
6480,SAP,3. Software Development,['3.2. Code generation'],Top Picks: Innovations Highlights from SAP Business Technology Platform (Q1/2024) - SAP ...,https://community.sap.com/t5/technology-blogs-by-sap/top-picks-innovations-highlights-from-sap-business-technology-platform-q1/ba-p/13673350
5533,Amazon,5. Software Maintenance,['5.3. Code review'],SoftwareOne boosts developer efficiency and streamlines code reviews using Amazon Bedrock,https://aws.amazon.com/blogs/publicsector/softwareone-boosts-developer-efficiency-and-streamlines-code-reviews-using-amazon-bedrock/
736,IBM,3. Software Development,['3.2. Code generation'],Empower developers to focus on innovation with IBM watsonx - IBM ...,https://www.ibm.com/blog/empower-developers-to-focus-on-innovation-with-ibm-watsonx/
1151,Microsoft,4. Software Quality Assurance,['4.3. Debugging'],"Research Focus: Week of March 18, 2024 - Microsoft Research",https://www.microsoft.com/en-us/research/blog/research-focus-week-of-march-18-2024/
1567,Salesforce,3. Software Development,['3.2. Code generation'],Generative AI for DataWeave | Salesforce,https://www.salesforce.com/blog/generative-ai-for-dataweave/
5173,Amazon,3. Software Development,"['3.2. Code generation', '3.5. Code understanding']",Five ways Amazon Q simplifies AWS CloudFormation development,https://aws.amazon.com/blogs/devops/five-ways-amazon-q-simplifies-aws-cloudformation-development/
3177,Amazon,3. Software Development,"['3.1. Code completion', '3.2. Code generation', '3.6. API recommendation for coding']",New Customization Capability in Amazon CodeWhisperer Generates Even Better Suggestions (Preview),https://aws.amazon.com/blogs/aws/new-customization-capability-in-amazon-codewhisperer-generates-even-better-suggestions-preview/
183,Nvidia,3. Software Development,['3.2. Code generation'],New LLM: Snowflake Arctic Model for SQL and Code Generation,https://developer.nvidia.com/blog/new-llm-snowflake-arctic-model-for-sql-and-code-generation/
1287,SAP,3. Software Development,['3.2. Code generation'],GenAI into SAP Automation Pilot: Content Generation Assistant (Beta) - SAP ...,https://community.sap.com/t5/technology-blogs-by-sap/genai-into-sap-automation-pilot-content-generation-assistant-beta/ba-p/13592122
3528,Amazon,3. Software Development,"['3.1. Code completion', '3.2. Code generation']",Introducing Amazon CodeWhisperer for command line | AWS ...,https://aws.amazon.com/blogs/devops/introducing-amazon-codewhisperer-for-command-line/
450,Google,3. Software Development,['3.1. Code completion'],Smart Paste for context-aware adjustments to pasted code,http://research.google/blog/smart-paste-for-context-aware-adjustments-to-pasted-code/
8,Nvidia,3. Software Development,['3.2. Code generation'],Silicon Volley: Designers Tap Generative AI for a Chip Assist,https://blogs.nvidia.com/blog/llm-semiconductors-chip-nemo/
1654,Salesforce,3. Software Development,['3.2. Code generation'],CodeChain: Towards Modular Code Generation through Chain of Self-revisions and Representative Sub-modules,https://blog.salesforceairesearch.com/codechain/
0,Nvidia,4. Software Quality Assurance,['4.1. Vulnerability detection'],Safe and Found: NVIDIA Generative AI Microservices Help Enterprises Detect and Address Software Security Issues in Seconds,https://blogs.nvidia.com/blog/generative-ai-for-software-security/
1148,Microsoft,4. Software Quality Assurance,['4.3. Debugging'],Microsoft at ESEC/FSE 2023: AI techniques for a streamlined coding workflow,https://www.microsoft.com/en-us/research/blog/microsoft-at-esec-fse-2023-ai-techniques-for-a-streamlined-coding-workflow/
647,Google,3. Software Development,['3.1. Code completion'],Duet AI for Developers and in Security Operations now GA | Google ...,https://cloud.google.com/blog/products/ai-machine-learning/duet-ai-for-developers-and-in-security-operations-now-ga
1254,SAP,3. Software Development,['3.2. Code generation'],SAP Build | SAP Build Code – When Generative AI comes to help! - SAP ...,https://community.sap.com/t5/technology-blogs-by-sap/sap-build-sap-build-code-when-generative-ai-comes-to-help/ba-p/13584227
1371,Oracle,3. Software Development,['3.2. Code generation'],Guide to prompt engineering: Translating natural language to SQL with Llama 2,https://blogs.oracle.com/ai-and-datascience/post/prompt-engineering-natural-language-sql-llama2
1332,SAP,3. Software Development,['3.1. Code completion'],SAP Fiori tools 2403 introduces Gen AI capability ... - SAP Community,https://community.sap.com/t5/technology-blogs-by-sap/sap-fiori-tools-2403-introduces-gen-ai-capability-and-more/ba-p/13650594
4616,Amazon,3. Software Development,['3.2. Code generation'],Accelerate security automation using Amazon CodeWhisperer,https://aws.amazon.com/blogs/security/accelerate-security-automation-using-amazon-codewhisperer/
4364,Amazon,3. Software Development,"['3.2. Code generation', '3.1. Code completion']",Infrastructure as Code development with Amazon CodeWhisperer,https://aws.amazon.com/blogs/devops/infrastructure-as-code-development-with-amazon-codewhisperer/
322,Amazon,3. Software Development,"['3.2. Code generation', '3.1. Code completion', '3.3. Code summarization']",Improve developer productivity with generative-AI powered Amazon Q in Amazon CodeCatalyst (preview),https://aws.amazon.com/blogs/aws/improve-developer-productivity-with-generative-ai-powered-amazon-q-in-amazon-codecatalyst-preview/
101,Nvidia,4. Software Quality Assurance,['4.1. Vulnerability detection'],Applying Generative AI for CVE Analysis at an Enterprise Scale,https://developer.nvidia.com/blog/applying-generative-ai-for-cve-analysis-at-an-enterprise-scale/
1339,SAP,3. Software Development,"['3.2. Code generation', '3.5. Code understanding']",Joule for freestyle SAPUI5 development in SAP Build Code,https://community.sap.com/t5/technology-blogs-by-sap/joule-for-freestyle-sapui5-development-in-sap-build-code/ba-p/13650005
616,Google,3. Software Development,"['3.2. Code generation', '3.1. Code completion']",How AI-driven software creation tools speed up your development ...,https://cloud.google.com/blog/products/application-development/how-ai-driven-software-creation-tools-speed-up-your-development
347,Amazon,3. Software Development,['3.2. Code generation'],Leverage generative AI to create custom dashboard widgets in Amazon CloudWatch using Amazon CodeWhisperer,https://aws.amazon.com/blogs/mt/leverage-generative-ai-to-create-custom-dashboard-widgets-in-amazon-cloudwatch-using-amazon-codewhisperer/
5544,Amazon,5. Software Maintenance,['5.8. Code transformation or modernization'],Amazon Q Developer just reached a $260 million dollar milestone,https://aws.amazon.com/blogs/devops/amazon-q-developer-just-reached-a-260-million-dollar-milestone/
1367,Oracle,3. Software Development,"['3.2. Code generation', '3.3. Code summarization']",Leading Industry Analysts Comment on the Release of Oracle APEX 24.1,https://blogs.oracle.com/database/post/leading-industry-analysts-comment-on-the-release-of-oracle-apex-241
875,Microsoft,3. Software Development,"['3.1. Code completion', '3.8. Code assistant']",Customer Success: Meesho's GenAI Approach with Github ...,https://techcommunity.microsoft.com/t5/ai-azure-ai-services-blog/customer-success-meesho-s-genai-approach-with-github-enterprise/ba-p/4033097
6444,SAP,3. Software Development,"['3.2. Code generation', '3.1. Code completion']",SAP BTP Ask Me Anything Series: SAP Build Code - SAP Community,https://community.sap.com/t5/technology-blogs-by-sap/sap-btp-ask-me-anything-series-sap-build-code/ba-p/13620439
