id,company,activity,tasks,title,link
1824,Nvidia,5. Model Deployment and Operation,"['5.4. Model Serving and Scaling', '5.5. Model Quantization, Pruning, or Distillation', '5.3. Model Monitoring']",NVIDIA Triton Accelerates Inference on Oracle Cloud | NVIDIA Blogs,https://blogs.nvidia.com/blog/ai-inference-oci-triton/
7057,Alibaba,5. Model Deployment and Operation,['5.1. Model Deployment on Cloud'],Tongyi Bailian - Model Studio with Chinese Version of Alibaba Cloud,https://www.alibabacloud.com/blog/601325
2873,Amazon,5. Model Deployment and Operation,['5.1. Model Deployment on Cloud'],Deploy Generative AI Models on Amazon EKS | Containers,https://aws.amazon.com/blogs/containers/deploy-generative-ai-models-on-amazon-eks/
105,Nvidia,3. Model Fine-Tuning,['3.1. Full Parameter Fine-Tuning of a Pre-Trained Model'],Generative AI and Accelerated Computing for Spear Phishing Detection,https://developer.nvidia.com/blog/generative-ai-and-accelerated-computing-for-spear-phishing-detection/
1402,Oracle,5. Model Deployment and Operation,['5.1. Model Deployment on Cloud'],How to Run NVIDIA NeMo on Oracle Cloud Infrastructure,https://blogs.oracle.com/cloud-infrastructure/post/run-nvidia-nemo-oci
123,Nvidia,5. Model Deployment and Operation,"['5.4. Model Serving and Scaling', '5.5. Model Quantization, Pruning, or Distillation', '5.1. Model Deployment on Cloud']",NVIDIA H200 Tensor Core GPUs and NVIDIA TensorRT-LLM Set MLPerf LLM Inference Records,https://developer.nvidia.com/blog/nvidia-h200-tensor-core-gpus-and-nvidia-tensorrt-llm-set-mlperf-llm-inference-records/
3132,Amazon,5. Model Deployment and Operation,['5.1. Model Deployment on Cloud'],New – No-code generative AI capabilities now available in Amazon SageMaker Canvas,https://aws.amazon.com/blogs/machine-learning/new-no-code-generative-ai-capabilities-now-available-in-amazon-sagemaker-canvas/
624,Google,5. Model Deployment and Operation,"['5.2. Model Deployment on Device', '5.4. Model Serving and Scaling', '5.1. Model Deployment on Cloud']",Unlock AI anywhere with Google Distributed Cloud | Google Cloud ...,https://cloud.google.com/blog/products/infrastructure-modernization/unlock-ai-anywhere-with-google-distributed-cloud
3669,Amazon,5. Model Deployment and Operation,"['5.4. Model Serving and Scaling', '5.3. Model Monitoring']",Introducing Amazon SageMaker HyperPod to train foundation models at scale,https://aws.amazon.com/blogs/machine-learning/introducing-amazon-sagemaker-hyperpod-to-train-foundation-models-at-scale/
3423,Amazon,2. Data Management,['2.1. Dataset Collection'],Amazon Kinesis Data Streams: celebrating a decade of real-time data innovation,https://aws.amazon.com/blogs/big-data/amazon-kinesis-data-streams-celebrating-a-decade-of-real-time-data-innovation/
2531,Nvidia,2. Data Management,['2.6. RAG for FM/LLM/GenAI'],Optimize AI Model Performance and Maintain Data Privacy with Hybrid RAG,https://developer.nvidia.com/blog/optimize-ai-model-performance-and-maintain-data-privacy-with-hybrid-rag/
6609,SAP,6. System Architecture and Orchestration,['6.2. Workflow Orchestration for FM/LLM/GenAI'],SAP x AI/ML Series: ISLM Embedded Scenario with APL - SAP ...,https://community.sap.com/t5/technology-blogs-by-sap/sap-x-ai-ml-series-islm-embedded-scenario-with-apl/ba-p/13781033
4019,Amazon,6. System Architecture and Orchestration,"['6.3. FM/LLM/GenAI Agent, Copilot, or Assistant']",How Mendix is transforming customer experiences with generative AI and Amazon Bedrock,https://aws.amazon.com/blogs/machine-learning/how-mendix-is-transforming-customer-experiences-with-generative-ai-and-amazon-bedrock/
539,Google,5. Model Deployment and Operation,['5.1. Model Deployment on Cloud'],5 highlights from Google Cloud Next 2024,https://blog.google/products/google-cloud/google-cloud-next-2024-recap-highlights/
7036,Alibaba,5. Model Deployment and Operation,['5. Model Deployment'],Alibaba Cloud Launches Tongyi Qianwen 2.0 and Industry-specific Models to,https://www.alibabacloud.com/blog/alibaba-cloud-launches-tongyi-qianwen-2-0-and-industry-specific-models-to-support-customers-reap-benefits-of-generative-ai_600526
134,Nvidia,5. Model Deployment and Operation,"['5.4. Model Serving and Scaling', '5.1. Model Deployment on Cloud']","Optimizing Inference on Large Language Models with NVIDIA TensorRT-LLM, Now Publicly Available",https://developer.nvidia.com/blog/optimizing-inference-on-llms-with-tensorrt-llm-now-publicly-available/
4439,Amazon,2. Data Management,"['2.1. Dataset Collection', '2.2. Dataset Cleaning and Preparation']",On-screen computation time using machine learning tools from AWS,https://aws.amazon.com/blogs/media/on-screen-time-computation-using-ai-ml-tools/
22,Nvidia,5. Model Deployment and Operation,['5.4. Model Serving and Scaling'],NVIDIA Grace Hopper Superchip Sweeps MLPerf Inference Benchmarks,https://blogs.nvidia.com/blog/grace-hopper-inference-mlperf/
1128,Microsoft,6. System Architecture and Orchestration,['6.2. Workflow Orchestration for FM/LLM/GenAI'],Enhanced Automation in Python: Auto Tool Calling for OpenAI Models in the Semantic Kernel SDK,https://devblogs.microsoft.com/semantic-kernel/python-auto-tool-calling-openai-models/
843,IBM,5. Model Deployment and Operation,['5.4. Model Serving and Scaling'],The future of AI is open - IBM Research,https://research.ibm.com/blog/ai-open-think
6688,Oracle,2. Data Management,['2.6. RAG for FM/LLM/GenAI'],"Revolutionizing Healthcare with AI: Building an Advanced Chatbot Using Mixtral, Oracle 23AI, RAG, LangChain, and Streamlit",https://blogs.oracle.com/ai-and-datascience/post/ai-health-mixtral-oracle-23ai-rag-langchain-streamlit
1756,AMD,5. Model Deployment and Operation,['5.2. Model Deployment on Device'],Enabling AI PCs with Ryzen AI Software - AMD Community,https://community.amd.com/t5/ai/enabling-ai-pcs-with-ryzen-ai-software/ba-p/648665
1298,SAP,2. Data Management,['2.6. RAG for FM/LLM/GenAI'],Early Adopter Care Program SAP HANA Cloud Vector Engine,https://community.sap.com/t5/technology-blogs-by-sap/be-among-the-early-adopters-of-the-vector-engine-in-sap-hana-cloud/ba-p/13595110
3544,Amazon,2. Data Management,['2.6. RAG for FM/LLM/GenAI'],Build scalable and serverless RAG workflows with a vector engine for Amazon OpenSearch Serverless and Amazon Bedrock Claude models,https://aws.amazon.com/blogs/big-data/build-scalable-and-serverless-rag-workflows-with-a-vector-engine-for-amazon-opensearch-serverless-and-amazon-bedrock-claude-models/
6332,SAP,2. Data Management,['2.6. RAG for FM/LLM/GenAI'],"Predict, Personalize, Prosper: Crafting Tomorrow's Retail Experience with RAG - Part 1/3 - SAP Community",https://community.sap.com/t5/technology-blogs-by-sap/predict-personalize-prosper-crafting-tomorrow-s-retail-experience-with-rag/ba-p/13577978
1762,AMD,3. Model Fine-Tuning,['3.1. Full Parameter Fine-Tuning of a Pre-Trained Model'],Unleashing Next-Gen AI & HPC Performance with the ... - AMD ...,https://community.amd.com/t5/ai/unleashing-next-gen-ai-amp-hpc-performance-with-the-latest/ba-p/700217
3598,Amazon,5. Model Deployment and Operation,"['5.5. Model Quantization, Pruning, or Distillation']",Boost inference performance for LLMs with new Amazon SageMaker containers,https://aws.amazon.com/blogs/machine-learning/boost-inference-performance-for-llms-with-new-amazon-sagemaker-containers/
131,Nvidia,5. Model Deployment and Operation,"['5.2. Model Deployment on Device', '5. Model Deployment']","Production-Ready, Enterprise-Grade Software on NVIDIA IGX Platform, Support for NVIDIA RTX 6000 ADA, and More",https://developer.nvidia.com/blog/production-ready-enterprise-grade-software-on-nvidia-igx-platform-support-for-nvidia-rtx-6000-ada-and-more/
637,Google,2. Data Management,['2.5. Specialized Databases for FM/LLM/GenAI'],Writer.com wins generative AI success with Google Cloud databases,https://cloud.google.com/blog/products/databases/writer-wins-generative-ai-success-with-google-cloud-databases
704,Google,5. Model Deployment and Operation,['5.1. Model Deployment on Cloud'],How Google Cloud is bringing Gemini to organizations everywhere ...,https://cloud.google.com/blog/products/ai-machine-learning/bringing-gemini-to-organizations-everywhere
2163,Nvidia,2. Data Management,['2.6. RAG for FM/LLM/GenAI'],RAG 101: Demystifying Retrieval-Augmented Generation Pipelines,https://developer.nvidia.com/blog/rag-101-demystifying-retrieval-augmented-generation-pipelines/
496,Google,2. Data Management,['2.1. Dataset Collection'],Advancements in machine learning for machine learning,http://research.google/blog/advancements-in-machine-learning-for-machine-learning/
669,Google,5. Model Deployment and Operation,"['5.1. Model Deployment on Cloud', '5.3. Model Monitoring', '5.4. Model Serving and Scaling']","New localllm lets you develop gen AI apps locally, without GPUs ...",https://cloud.google.com/blog/products/application-development/new-localllm-lets-you-develop-gen-ai-apps-locally-without-gpus
3306,Amazon,5. Model Deployment and Operation,['5.1. Model Deployment on Cloud'],Deploying Level 4 Digital Twin Self-Calibrating Virtual Sensors on AWS,https://aws.amazon.com/blogs/hpc/deploying-level-4-digital-twin-self-calibrating-virtual-sensors-on-aws/
5308,Amazon,5. Model Deployment and Operation,"['5.5. Model Quantization, Pruning, or Distillation', '5.4. Model Serving and Scaling']",Achieve up to ~2x higher throughput while reducing costs by up to ~50% for generative AI inference on Amazon SageMaker with the new inference optimization toolkit – Part 2,https://aws.amazon.com/blogs/machine-learning/achieve-up-to-2x-higher-throughput-while-reducing-costs-by-up-to-50-for-generative-ai-inference-on-amazon-sagemaker-with-the-new-inference-optimization-toolkit-part-2/
7101,Alibaba,5. Model Deployment and Operation,['5.1. Model Deployment on Cloud'],Deploying Pre-trained Models on Alibaba Cloud ECS Using Hugging Face,https://www.alibabacloud.com/blog/deploying-pre-trained-models-on-alibaba-cloud-ecs-using-hugging-face-transformers-and-gradio_600844
6666,Oracle,5. Model Deployment and Operation,"['5.4. Model Serving and Scaling', '5.1. Model Deployment on Cloud']",Accelerating telco innovation by leveraging power of GPUs on Oracle Cloud Infrastructure for enhanced customer experiences and operational efficiency,https://blogs.oracle.com/cloud-infrastructure/post/telco-innovation-gpus-oci-operational-efficiency
621,Google,6. System Architecture and Orchestration,['6.5. Platforms/Tools/Studios for FM/LLM/GenAI'],GKE and NVIDIA NeMo framework to train generative AI models ...,https://cloud.google.com/blog/products/compute/gke-and-nvidia-nemo-framework-to-train-generative-ai-models
98,Nvidia,5. Model Deployment and Operation,"['5.1. Model Deployment on Cloud', '5.4. Model Serving and Scaling']",Generative AI's Journey to Production Unveiled at Google Cloud ...,https://blogs.nvidia.com/blog/generative-ai-production-google-cloud-next/
2150,Nvidia,3. Model Fine-Tuning,"['3.1. Full Parameter Fine-Tuning of a Pre-Trained Model', '3.3. Reinforcement Learning from Human Feedback (RLHF)']",Develop and Optimize Vision AI Models for Trillions of Devices with NVIDIA TAO,https://developer.nvidia.com/blog/develop-and-optimize-vision-ai-models-for-trillions-of-devices-with-nvidia-tao/
7,Nvidia,6. System Architecture and Orchestration,['6.5. Platforms/Tools/Studios for FM/LLM/GenAI'],How NVIDIA AI Foundry Lets Enterprises Forge Custom Generative AI Models,https://blogs.nvidia.com/blog/ai-foundry-enterprise-generative-ai/
2544,Nvidia,3. Model Fine-Tuning,['3.1. Full Parameter Fine-Tuning of a Pre-Trained Model'],Enhance Multi-Camera Tracking Accuracy by Fine-Tuning AI Models with Synthetic Data,https://developer.nvidia.com/blog/enhance-multi-camera-tracking-accuracy-by-fine-tuning-ai-models-with-synthetic-data/
381,Amazon,6. System Architecture and Orchestration,['6.5. Platforms/Tools/Studios for FM/LLM/GenAI'],Germany's International University of Applied Sciences automates ...,https://aws.amazon.com/blogs/publicsector/germanys-international-university-of-applied-sciences-automates-creation-of-educational-videos-using-generative-ai-serverless-on-aws/
6534,SAP,5. Model Deployment and Operation,"['5.1. Model Deployment on Cloud', '5.3. Model Monitoring', '5.4. Model Serving and Scaling']",SAP AI Core Static Deployment URL - SAP Community,https://community.sap.com/t5/technology-blogs-by-sap/sap-ai-core-static-deployment-url/ba-p/13717143
1103,Microsoft,6. System Architecture and Orchestration,"['6.5. Platforms/Tools/Studios for FM/LLM/GenAI', '6.1. Model and Prompt Chaining']",Java 1.0 Release Candidate for Semantic Kernel now available,https://devblogs.microsoft.com/semantic-kernel/java-1-0-release-candidate-for-semantic-kernel-now-available/
4069,Amazon,6. System Architecture and Orchestration,['6.1. Model and Prompt Chaining'],How Shellkode Uses Amazon Bedrock to Convert Natural Language Queries to NoSQL Statements,https://aws.amazon.com/blogs/apn/how-shellkode-uses-amazon-bedrock-to-convert-natural-language-queries-to-nosql-statements/
914,Microsoft,5. Model Deployment and Operation,"['5.2. Model Deployment on Device', '5.5. Model Quantization, Pruning, or Distillation']",Unlocking the power of NPU on Surface: Our “Hello World” journey,https://techcommunity.microsoft.com/t5/surface-it-pro-blog/unlocking-the-power-of-npu-on-surface-our-hello-world-journey/ba-p/4149473
2401,Nvidia,3. Model Fine-Tuning,"['3.1. Full Parameter Fine-Tuning of a Pre-Trained Model', '3.2. Low-Rank Adaptation (LoRA) for Foundation Models']","Customizing Neural Machine Translation Models with NVIDIA NeMo, Part 1",https://developer.nvidia.com/blog/customizing-neural-machine-translation-models-with-nvidia-nemo-part-1/
2442,Nvidia,5. Model Deployment and Operation,['5.4. Model Serving and Scaling'],Accelerating Transformers with NVIDIA cuDNN 9 | NVIDIA Technical ...,https://developer.nvidia.com/blog/accelerating-transformers-with-nvidia-cudnn-9/
4217,Amazon,5. Model Deployment and Operation,"['5.4. Model Serving and Scaling', '5.1. Model Deployment on Cloud']",Run ML inference on unplanned and spiky traffic using Amazon SageMaker multi-model endpoints,https://aws.amazon.com/blogs/machine-learning/run-ml-inference-on-unplanned-and-spiky-traffic-using-amazon-sagemaker-multi-model-endpoints/
2451,Nvidia,5. Model Deployment and Operation,"['5.1. Model Deployment on Cloud', '5.2. Model Deployment on Device']","Build Lifelike Digital Human Technology with NVIDIA ACE, Now Generally Available",https://developer.nvidia.com/blog/build-lifelike-digital-humans-with-nvidia-ace-now-generally-available/
203,Meta,5. Model Deployment and Operation,['5.1. Model Deployment on Cloud'],Building Meta's GenAI Infrastructure - Engineering at Meta,https://engineering.fb.com/2024/03/12/data-center-engineering/building-metas-genai-infrastructure/
351,Amazon,5. Model Deployment and Operation,['5.1. Model Deployment on Cloud'],A secure approach to generative AI with AWS | AWS Machine ...,https://aws.amazon.com/blogs/machine-learning/a-secure-approach-to-generative-ai-with-aws/
4622,Amazon,5. Model Deployment and Operation,['5.4. Model Serving and Scaling'],Distributed training and efficient scaling with the Amazon SageMaker Model Parallel and Data Parallel Libraries,https://aws.amazon.com/blogs/machine-learning/distributed-training-and-efficient-scaling-with-the-amazon-sagemaker-model-parallel-and-data-parallel-libraries/
175,Nvidia,3. Model Fine-Tuning,['3.1. Full Parameter Fine-Tuning of a Pre-Trained Model'],NVIDIA NeMo Accelerates LLM Innovation with Hybrid State Space Model Support,https://developer.nvidia.com/blog/nvidia-nemo-accelerates-llm-innovation-with-hybrid-state-space-model-support/
1096,Microsoft,6. System Architecture and Orchestration,"['6.1. Model and Prompt Chaining', '6.5. Platforms/Tools/Studios for FM/LLM/GenAI', '6.2. Workflow Orchestration for FM/LLM/GenAI']",Building AI-powered Microsoft Copilot with SignalR and other open-source tools,https://devblogs.microsoft.com/dotnet/building-ai-powered-bing-chat-with-signalr-and-other-open-source-tools/
6671,Oracle,5. Model Deployment and Operation,['5.1. Model Deployment on Cloud'],Driving Government Innovation: Oracle Cloud Infrastructure Supercluster Leverages NVIDIA AI in Oracle US Government Cloud,https://blogs.oracle.com/cloud-infrastructure/post/oci-supercluster-nvidia-ai-oracle-us-govt-cloud
440,Google,6. System Architecture and Orchestration,['6.5. Platforms/Tools/Studios for FM/LLM/GenAI'],Accelerating code migrations with AI,http://research.google/blog/accelerating-code-migrations-with-ai/
3033,Amazon,5. Model Deployment and Operation,"['5.4. Model Serving and Scaling', '5.1. Model Deployment on Cloud']",Create a Generative AI Gateway to allow secure and compliant consumption of foundation models,https://aws.amazon.com/blogs/machine-learning/create-a-generative-ai-gateway-to-allow-secure-and-compliant-consumption-of-foundation-models/
3878,Amazon,5. Model Deployment and Operation,"['5.1. Model Deployment on Cloud', '5.4. Model Serving and Scaling']",Deploy a Slack gateway for Amazon Q Business | AWS Machine ...,https://aws.amazon.com/blogs/machine-learning/deploy-a-slack-gateway-for-amazon-q-your-business-expert/
